一	1
律	127,410
徇	127,64,209
後	127,169,131
徉	127,406
怒	156,85,257
思	301,257
怠	88,119,257
急	63,150,257
怎	324,257
怨	135,76,257
恍	259,161,1,55
恰	259,45,1,119
恨	259,412
恢	259,23,249
恆	259,367
恃	259,101,113
恬	259,95,119
恫	259,39,1,119
恪	259,130,119
恤	259,5,305
扁	236,313
拜	219,1,230
挖	220,139,50,8
按	220,139,155
拼	220,140,108
拭	220,114,103
持	220,101,113
拮	220,101,119
拽	220,376
指	220,26,209
拱	220,183,49
拷	220,180,34
拯	220,17,275,1
括	220,126,119
拾	220,45,1,119
拴	220,51,173
挑	220,55,252
挂	220,99,99
政	1,208,221
故	20,119,221
斫	291,232
施	67,61,42,154
既	413,200
春	279,209
昭	209,81,119
映	209,308
昧	209,281
是	209,1,207
星	209,322
昨	209,324
昱	209,339
昤	209,45,1,89
曷	209,64,47,15
柿	185,67,122
染	277,90,186
柱	185,67,99;185,6,173
柔	353,186
某	285,186
柬	423,70
架	83,119,186
枯	185,20,119
柵	185,311
柩	185,28,133
柯	185,32,119
柄	185,290
柑	185,285
枴	185,119,81
柚	185,302
查	185,209,1
枸	185,64,119
柏	185,331
柞	185,324
柳	185,134,75
枰	185,95,70
柙	185,303
柢	185,240,1
柝	185,232,6
柒	277,30,186
歪	191,1,206
殃	195,308
殆	195,88,119
段	328,58,84
毒	178,272
毗	301,25,24
氟	223,347
泉	331,275
洋	277,406
洲	277,409
洪	277,183,49
流	277,115,172
津	277,410
洌	277,195,82
洱	277,356
洞	277,39,1,119
洗	277,226,55
活	277,126,119
洽	277,45,1,119
派	277,44,244
洶	277,64,54,80
洛	277,130,119
泵	291,275
洹	277,1,209,1
洧	277,23,238
洸	277,161,1,55
洩	277,376
洮	277,55,252
洵	277,64,209
洎	277,392
洫	277,5,305
炫	250,67,169
為	486
炳	250,290
炬	250,102,73
炯	250,39,119
炭	121,22,249
炸	250,324
炮	250,64,145
炤	250,81,119
爰	234,1,23,84
牲	225,322
牯	225,20,119
牴	225,240,1
狩	194,139,113
狠	194,412
狡	194,67,237
玷	174,38,119
珊	174,311
玻	174,349
玲	174,45,1,89
珍	174,45,128
珀	174,331
玳	174,46,114
甚	358,50,15
甭	191,335
畏	301,1,158
界	301,45,43
畎	301,192
畋	301,221
疫	338,58,84
疤	338,268
疥	338,45,43
疢	338,249
疣	338,107,6
癸	352,1,106
皆	25,24,331
皇	331,173
皈	331,22,84
盈	87,85,305
盆	48,81,305
盃	191,305
盅	214,305
省	160,5,298
盹	298,198
相	185,298
眉	269,298
看	219,298
盾	44,20,298
盼	298,48,81
眇	298,160,5
矜	353,45,1,17
砂	291,160,5
研	291,1,108
砌	291,31,81
砍	291,62,45
祆	284,1,105
祉	284,206
祈	284,232
祇	284,240
禹	482
禺	477
科	326,71,20
秒	326,160,5
秋	326,249
穿	139,50,203
突	139,50,192
竿	391,95
竽	391,96
